IMDb ID,Rating
tt0212712,7.4
tt0118694,8.1
tt0380069,5.7
tt0286112,7.3
tt0092263,7.4
tt0338564,8.0
tt1988689,4.7
tt0188766,7.2
tt0118694,8.1
tt0338564,8.0
tt0266067,6.2
tt0380069,5.7
tt0338564,8.0
tt0338565,5.9
tt0113672,6.8
tt0395991,6.0
tt0109424,8.0
tt0109424,8.0
tt0104684,7.7
tt0455151,N/A
tt0286635,6.8
tt0093435,7.0
tt2199429,N/A
tt2332707,6.4
tt6878882,6.6
tt3923024,7.3
tt5847286,6.3
tt2165735,7.0
tt5291094,N/A
tt7245176,6.5
tt7131870,5.9
tt0338564,8.0
tt2165505,N/A
tt1726220,N/A
tt3141320,N/A
tt6869538,6.3
tt5866930,5.6
tt7183578,6.8
tt7183578,6.8
tt7183578,6.8
tt10944634,N/A
tt10530176,7.1
tt7070530,N/A
tt0097244,7.2
tt0455195,5.9
tt0286112,7.3
tt0116456,7.0
tt0382625,6.6
tt3705760,N/A
tt2332707,6.4
tt1663189,N/A
tt0491244,7.4
tt0299977,7.9
tt8459250,7.1
tt1489428,8.6
tt2197299,N/A
tt7057652,N/A
tt0105864,6.6
tt0338564,8.0
tt0105679,N/A
tt3144180,N/A
tt0113651,6.5
tt10667354,7.1
tt0089374,7.5
tt0068767,7.2
tt0111512,7.5
tt0992911,6.7
tt7245176,6.5
tt0463985,6.0
tt6427662,
tt0116456,7.0
tt0178235,5.5
tt0367837,6.3
tt0098691,5.9
tt0136317,5.8
tt0439630,6.3
tt0101258,7.4
tt0102735,4.4
tt0112913,7.6
tt7521904,N/A
tt1663189,N/A
tt4738154,N/A
tt0119217,8.3
tt0365847,6.1
tt0100777,7.3
tt1602479,7.1
tt0117905,8.1
tt0096461,7.0
tt0373074,7.7
tt3469568,N/A
tt0113672,6.8
tt17504220,N/A
tt17504220,N/A
tt0299977,7.9
tt0093978,7.4
tt0385004,7.5
tt0114996,7.8
tt0112913,7.6
tt0099426,7.5
tt0913968,7.0
tt0796212,7.2
tt0338564,8.0
tt2008006,7.5
tt5355536,
tt5151488,N/A
tt0992966,8.8
tt0085127,7.2
tt0093258,7.3
tt0338564,8.0
tt1462900,6.6
tt0093258,7.3
tt1602572,7.4
tt0108611,7.0
tt0089374,7.5
tt0338564,8.0
tt0109424,8.0
tt0338564,8.0
tt0105864,6.6
tt1663189,N/A
tt0117905,8.1
tt0068935,7.2
tt0080179,7.4
tt0118694,8.1
tt5866930,5.6
tt0446059,7.6
tt0113326,6.7
tt0054357,7.1
tt0097202,7.8
tt0092263,7.4
tt0178998,6.4
tt2186715,6.6
tt0118694,8.1
tt0097202,7.8
tt11463680,8.4
tt0105864,6.6
tt0111770,7.6
tt0365717,6.5
tt5292986,
tt1220719,8.0
tt0220580,6.8
